player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Nicholas Pooran,604302,MI Emirates,2024,International League T20,92.303,0.444,92.303,0.444,0,0,354,208,48,66,31,173,100,7,NA,NA,0,NA,NA,NA,NA,1.702,50.571,208,NA,0.231,0.149,NA,0.317,0.578,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320109.png,https://www.espncricinfo.com/db/PICTURES/CMS/302200/302286.jpg
Nilansh Keswani,1241280,Sharjah Warriors,2024,International League T20,-6.233,-0.445,-6.296,-0.787,0.063,0.01,5,8,0,4,0,8,5,1,1,10,6,1,1,10,10,0.625,5,14,0.167,0,0,0.167,0.5,0.625,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,NA,NA,NA
Niroshan Dickwella,429754,Dubai Capitals,2023,International League T20,7.414,0.337,7.414,0.337,0,0,37,22,6,9,2,16,9,1,NA,NA,0,NA,NA,NA,NA,1.682,37,22,NA,0.273,0.091,NA,0.409,0.562,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/263600/263673.1.png
Niroshan Dickwella,429754,Sharjah Warriors,2024,International League T20,-11.647,-0.105,-11.647,-0.105,0,0,146,111,21,53,4,95,54,10,NA,NA,0,NA,NA,NA,NA,1.315,14.6,111,NA,0.189,0.036,NA,0.477,0.568,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/263600/263673.1.png
Noor Ahmad,1182529,Sharjah Warriors,2023,International League T20,16.076,0.09,-4.766,-0.099,20.842,0.16,49,48,4,17,1,44,31,2,5,148,130,13,44,6.831,29.6,1.021,24.5,178,0.1,0.083,0.021,0.338,0.354,0.705,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png
Odean Smith,820691,MI Emirates,2024,International League T20,-12.187,-0.218,-9.121,-0.537,-3.065,-0.079,13,17,0,5,0,18,13,1,2,52,39,6,10,8,26,0.765,13,56,0.154,0,0,0.256,0.294,0.722,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/348100/348147.4.jpg
Ollie Pope,887207,Gulf Giants,2023,International League T20,-10.016,-0.501,-10.016,-0.501,0,0,18,20,2,9,0,21,10,2,NA,NA,0,NA,NA,NA,NA,0.9,9,20,NA,0.1,0,NA,0.45,0.476,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322914.png,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322914.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303990.jpg
Olly Stone,457279,Dubai Capitals,2024,International League T20,11.566,0.077,-10.155,-1.128,21.721,0.153,6,9,0,4,0,9,6,2,10,174,142,24,60,7.352,17.4,0.667,3,151,0.169,0,0,0.423,0.444,0.667,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg
Paul Stirling,303427,Abu Dhabi Knight Riders,2023,International League T20,-52.052,-0.327,-43.364,-0.283,-8.688,-1.448,168,153,20,59,5,135,78,6,0,17,6,3,1,17,Inf,1.098,28,159,0.5,0.131,0.033,0.167,0.386,0.578,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316638.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316638.png,https://www.espncricinfo.com/db/PICTURES/CMS/305200/305247.jpg
Paul Walter,909225,Sharjah Warriors,2023,International League T20,-3.695,-0.035,-1.086,-0.023,-2.61,-0.046,59,48,8,18,0,42,27,2,2,79,57,9,17,8.316,39.5,1.229,29.5,105,0.158,0.167,0,0.298,0.375,0.643,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
