player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Alice Capsey,1187120,England Women,2024,ICC Women's T20 World Cup,-12.479,-0.357,-12.479,-0.357,0,0,29,35,4,19,0,32,13,3,NA,NA,0,NA,NA,NA,NA,0.829,9.667,35,NA,0.114,0,NA,0.543,0.406,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326521.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324797.4.jpg
Alison Hodgkinson,54643,South Africa Women,2012,ICC Women's World Twenty20,-35.726,-0.372,-35.726,-0.372,0,0,62,96,7,59,0,91,34,3,NA,NA,0,NA,NA,NA,NA,0.646,20.667,96,NA,0.073,0,NA,0.615,0.374,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320636.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320636.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307239.png
Aliya Riaz,572645,Pakistan Women,2019,ICC Women's T20 World Cup,14.495,0.161,14.791,0.228,-0.296,-0.012,80,65,10,21,2,59,36,1,1,28,25,3,8,6.72,28,1.231,80,90,0.12,0.154,0.031,0.32,0.323,0.61,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Aliya Riaz,572645,Pakistan Women,2022,ICC Women's T20 World Cup,-9.059,-0.238,-0.215,-0.007,-8.845,-1.474,37,32,5,13,0,30,17,2,0,16,6,3,1,16,Inf,1.156,18.5,38,0.5,0.156,0,0.167,0.406,0.567,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Aliya Riaz,572645,Pakistan Women,2024,ICC Women's T20 World Cup,-26.435,-0.587,-26.435,-0.587,0,0,30,45,3,23,0,44,18,4,NA,NA,0,NA,NA,NA,NA,0.667,7.5,45,NA,0.067,0,NA,0.511,0.409,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Aliya Riaz,572645,Pakistan Women,2018,ICC Women's World T20,-18.201,-0.167,-19.131,-0.598,0.93,0.012,18,32,2,20,0,34,10,4,7,93,77,10,31,7.247,13.286,0.562,4.5,109,0.13,0.062,0,0.403,0.625,0.294,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Aliya Riaz,572645,Pakistan Women,2015,Women's World T20,-4.93,-0.986,-4.93,-0.986,0,0,2,5,0,3,0,5,2,1,NA,NA,0,NA,NA,NA,NA,0.4,2,5,NA,0,0,NA,0.6,0.4,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320552.png,https://www.espncricinfo.com/db/PICTURES/CMS/304700/304757.png
Alyssa Healy,275486,Australia Women,2019,ICC Women's T20 World Cup,84.213,0.561,84.213,0.561,0,0,236,150,37,55,9,115,70,6,NA,NA,0,NA,NA,NA,NA,1.573,39.333,150,NA,0.247,0.06,NA,0.367,0.609,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Alyssa Healy,275486,Australia Women,2022,ICC Women's T20 World Cup,28.603,0.178,28.603,0.178,0,0,189,161,27,66,2,137,77,4,NA,NA,0,NA,NA,NA,NA,1.174,47.25,161,NA,0.168,0.012,NA,0.41,0.562,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
Alyssa Healy,275486,Australia Women,2024,ICC Women's T20 World Cup,19.681,0.428,19.681,0.428,0,0,67,46,10,16,0,38,27,3,NA,NA,0,NA,NA,NA,NA,1.457,22.333,46,NA,0.217,0,NA,0.348,0.711,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/c/c6/2024_ICC_Women%27s_T20_World_Cup_logo.svg,#10044A,#FF002B,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320125.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150224.1.jpg
