player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Grace Dignam,1415623,Australian Capital Territory Women,2024,T20 Spring Challenge,-4.713,-0.046,-11.299,-0.491,6.586,0.083,15,23,2,14,0,21,7,2,9,97,79,11,26,7.367,10.778,0.652,7.5,102,0.139,0.087,0,0.329,0.609,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grace Lyons,1302182,Australian Capital Territory Women,2024,T20 Spring Challenge,-17.845,-0.275,-17.845,-0.275,0,0,51,65,5,31,0,70,30,4,NA,NA,0,NA,NA,NA,NA,0.785,12.75,65,NA,0.077,0,NA,0.477,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grace Parsons,1303894,Brisbane Heat Women,2024,T20 Spring Challenge,4.975,0.092,2.201,0.734,2.774,0.054,5,3,1,1,0,2,1,NA,3,55,51,6,21,6.471,18.333,1.667,NA,54,0.118,0.333,0,0.412,0.333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hannah Darlington,1128781,Sydney Thunder Women,2024,T20 Spring Challenge,-28.328,-0.337,-8.372,-0.837,-19.956,-0.27,5,10,0,5,0,10,5,1,4,106,74,15,27,8.595,26.5,0.5,5,84,0.203,0,0,0.365,0.5,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/329700/329766.png,https://www.espncricinfo.com/db/PICTURES/CMS/329700/329766.png,https://www.espncricinfo.com/db/PICTURES/CMS/329700/329767.4.jpg
Hasrat Gill,1339695,Melbourne Stars Women,2024,T20 Spring Challenge,13.27,0.255,1.018,0.339,12.252,0.25,3,3,0,0,0,3,3,1,3,44,49,3,15,5.388,14.667,1,3,52,0.061,0,0,0.306,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hayley Silver-holmes,1142973,Hobart Hurricanes Women,2024,T20 Spring Challenge,-10.533,-0.16,-5.566,-0.696,-4.967,-0.086,4,8,0,3,0,8,4,1,4,69,58,10,24,7.138,17.25,0.5,4,66,0.172,0,0,0.414,0.375,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364936.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364936.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346962.4.jpg
Holly Ferling,381266,Australian Capital Territory Women,2024,T20 Spring Challenge,9.882,0.101,0.081,0.027,9.801,0.103,5,3,1,1,0,3,1,1,6,96,95,10,44,6.063,16,1.667,5,98,0.105,0.333,0,0.463,0.333,0.333,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321704.png,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321704.png,https://www.espncricinfo.com/db/PICTURES/CMS/153800/153871.1.jpg
Holly Spencer,1454794,Melbourne Stars Women,2024,T20 Spring Challenge,-12.421,-0.518,-3.752,-0.417,-8.668,-0.578,4,9,0,5,0,10,4,1,0,23,15,3,6,9.2,Inf,0.444,4,24,0.2,0,0,0.4,0.556,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indigo Noble,1454791,Melbourne Stars Women,2024,T20 Spring Challenge,2.24,0.043,-5.041,-1.68,7.28,0.149,0,3,0,3,0,3,0,1,3,50,49,7,24,6.122,16.667,0,0,52,0.143,0,0,0.49,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ines Mckeon,338257,Perth Scorchers Women,2024,T20 Spring Challenge,-4.962,-0.084,-4.962,-0.084,0,0,64,59,9,31,4,52,20,4,NA,NA,0,NA,NA,NA,NA,1.085,16,59,NA,0.153,0.068,NA,0.525,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isabella Malgioglio,1358118,Sydney Sixers Women,2024,T20 Spring Challenge,-6.133,-0.099,-0.045,-0.045,-6.087,-0.1,1,1,0,0,0,1,1,NA,2,70,61,7,16,6.885,35,1,NA,62,0.115,0,0,0.262,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jade Allen,1282072,Sydney Thunder Women,2024,T20 Spring Challenge,2.728,0.195,0,0,2.728,0.195,NA,0,NA,NA,NA,NA,NA,NA,1,13,14,2,8,5.571,13,NA,NA,14,0.143,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/352400/352475.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/352400/352475.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/352400/352475.4.jpg
Jemma Barsby,381263,Adelaide Strikers Women,2024,T20 Spring Challenge,-26.671,-0.178,14.213,0.273,-40.884,-0.417,72,52,9,24,2,46,32,2,2,148,98,21,26,9.061,74,1.385,36,150,0.214,0.173,0.038,0.265,0.462,0.696,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364907.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364907.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364909.7.jpg
Jess Jonassen,374936,Brisbane Heat Women,2024,T20 Spring Challenge,-7.018,-0.087,2.64,0.071,-9.658,-0.219,43,37,6,13,0,32,19,2,1,54,44,4,14,7.364,54,1.162,21.5,81,0.091,0.162,0,0.318,0.351,0.594,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320133.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320133.png,https://www.espncricinfo.com/db/PICTURES/CMS/150200/150218.1.jpg
Julia Cavanough,1339693,Hobart Hurricanes Women,2024,T20 Spring Challenge,6.51,0.125,0,0,6.51,0.125,NA,0,NA,NA,NA,NA,NA,NA,2,52,52,6,23,6,26,NA,NA,52,0.115,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juliette Morton,1427048,Sydney Sixers Women,2024,T20 Spring Challenge,18.821,0.495,0,0,18.821,0.495,NA,0,NA,NA,NA,NA,NA,NA,4,29,38,0,12,4.579,7.25,NA,NA,38,0,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kate Pelle,1351913,Sydney Sixers Women,2024,T20 Spring Challenge,-10.358,-0.11,-10.358,-0.11,0,0,84,94,11,52,2,92,36,4,NA,NA,0,NA,NA,NA,NA,0.894,21,94,NA,0.117,0.021,NA,0.553,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kate Peterson,1203798,Sydney Sixers Women,2024,T20 Spring Challenge,-14.039,-0.125,18.313,0.416,-32.353,-0.476,61,44,6,8,2,39,33,2,1,101,68,11,8,8.912,101,1.386,30.5,112,0.162,0.136,0.045,0.118,0.182,0.846,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Katie Mack,678831,Adelaide Strikers Women,2024,T20 Spring Challenge,33.127,0.36,33.127,0.36,0,0,126,92,21,34,1,74,40,5,NA,NA,0,NA,NA,NA,NA,1.37,25.2,92,NA,0.228,0.011,NA,0.37,0.541,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364906.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364906.png,https://www.espncricinfo.com/db/PICTURES/CMS/364900/364908.4.jpg
Kira Holmes,1354674,Brisbane Heat Women,2024,T20 Spring Challenge,-0.091,-0.045,-0.091,-0.045,0,0,2,2,0,0,0,2,2,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laura Harris,951163,Brisbane Heat Women,2024,T20 Spring Challenge,62.11,0.863,62.11,0.863,0,0,141,72,28,36,9,48,11,5,NA,NA,0,NA,NA,NA,NA,1.958,28.2,72,NA,0.389,0.125,NA,0.5,0.229,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326544.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326544.png,https://www.espncricinfo.com/db/PICTURES/CMS/324700/324790.4.jpg
Lauren Kua,1454762,Sydney Sixers Women,2024,T20 Spring Challenge,-3.733,-0.747,-3.733,-0.747,0,0,2,5,0,3,0,5,2,1,NA,NA,0,NA,NA,NA,NA,0.4,2,5,NA,0,0,NA,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lauren Smith,788623,Hobart Hurricanes Women,2024,T20 Spring Challenge,20.744,0.165,2.886,0.481,17.857,0.149,9,6,2,3,0,4,1,NA,4,121,120,10,44,6.05,30.25,1.5,NA,126,0.083,0.333,0,0.367,0.5,0.25,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Lilli Hamilton,1454733,Brisbane Heat Women,2024,T20 Spring Challenge,5.32,0.213,0,0,5.32,0.213,NA,0,NA,NA,NA,NA,NA,NA,3,25,25,3,9,6,8.333,NA,NA,25,0.12,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lilly Mills,1203888,Perth Scorchers Women,2024,T20 Spring Challenge,-39.046,-0.355,3.802,0.2,-42.848,-0.471,24,19,4,9,0,20,8,3,3,136,91,18,20,8.967,45.333,1.263,8,110,0.198,0.211,0,0.22,0.474,0.4,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Lily Bassingthwaighte,1453529,Brisbane Heat Women,2024,T20 Spring Challenge,-4.951,-0.134,-0.796,-0.796,-4.155,-0.115,0,1,0,1,0,1,0,NA,2,44,36,6,14,7.333,22,0,NA,37,0.167,0,0,0.389,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lizelle Lee,483484,Hobart Hurricanes Women,2024,T20 Spring Challenge,59.574,0.445,59.574,0.445,0,0,196,134,36,63,7,99,38,3,NA,NA,0,NA,NA,NA,NA,1.463,65.333,134,NA,0.269,0.052,NA,0.47,0.384,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320642.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320642.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307317.png
Lucinda Bourke,1454734,Brisbane Heat Women,2024,T20 Spring Challenge,-2.248,-0.094,-2.248,-0.094,0,0,27,24,3,6,0,25,15,3,NA,NA,0,NA,NA,NA,NA,1.125,9,24,NA,0.125,0,NA,0.25,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucy Finn,1427047,Sydney Sixers Women,2024,T20 Spring Challenge,-2.136,-0.267,-0.045,-0.045,-2.091,-0.299,1,1,0,0,0,1,1,1,0,9,7,1,1,7.714,Inf,1,1,8,0.143,0,0,0.143,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucy Hamilton,1343643,Brisbane Heat Women,2024,T20 Spring Challenge,-2.046,-0.037,-1.988,-0.199,-0.058,-0.001,8,10,0,2,0,12,8,1,1,51,45,7,21,6.8,51,0.8,8,55,0.156,0,0,0.467,0.2,0.667,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348924.png,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348924.png,https://www.espncricinfo.com/db/PICTURES/CMS/348900/348924.png
Maddy Darke,1142971,Perth Scorchers Women,2024,T20 Spring Challenge,-2.152,-0.02,-2.152,-0.02,0,0,108,108,6,30,0,109,84,4,NA,NA,0,NA,NA,NA,NA,1,27,108,NA,0.056,0,NA,0.278,0.771,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Madeline Penna,1201476,Adelaide Strikers Women,2024,T20 Spring Challenge,46.56,0.423,54.553,0.525,-7.994,-1.332,153,104,27,41,3,82,39,4,0,15,6,3,2,15,Inf,1.471,38.25,110,0.5,0.26,0.029,0.333,0.394,0.476,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Maggie Clark,1351909,Adelaide Strikers Women,2024,T20 Spring Challenge,-5.773,-0.072,-7.988,-1.331,2.215,0.03,3,6,0,3,0,6,3,2,3,80,74,10,24,6.486,26.667,0.5,1.5,80,0.135,0,0,0.324,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maisy Gibson,947807,Melbourne Stars Women,2024,T20 Spring Challenge,30.644,0.365,10.029,0.912,20.616,0.282,21,11,4,3,0,8,5,NA,2,60,73,3,28,4.932,30,1.909,NA,84,0.041,0.364,0,0.384,0.273,0.625,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Mathilda Carmichael,381218,Sydney Sixers Women,2024,T20 Spring Challenge,0.171,0.003,0.171,0.003,0,0,76,62,12,25,0,55,28,4,NA,NA,0,NA,NA,NA,NA,1.226,19,62,NA,0.194,0,NA,0.403,0.509,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Meg Lanning,329336,Melbourne Stars Women,2024,T20 Spring Challenge,31.584,0.34,31.584,0.34,0,0,131,93,18,36,4,78,51,3,NA,NA,0,NA,NA,NA,NA,1.409,43.667,93,NA,0.194,0.043,NA,0.387,0.654,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320138.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320138.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282468.1.jpg
Mia Perrin,1454792,Melbourne Stars Women,2024,T20 Spring Challenge,-1.145,-0.039,-1.145,-0.039,0,0,32,29,4,12,0,25,16,2,NA,NA,0,NA,NA,NA,NA,1.103,16,29,NA,0.138,0,NA,0.414,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
