player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Chamari Athapaththu,318853,Barbados Royals Women,2024,Women's Caribbean Premier League,0.101,0,-13.836,-0.097,13.937,0.208,129,143,20,78,0,129,49,3,3,57,67,3,27,5.104,19,0.902,43,210,0.045,0.14,0,0.403,0.545,0.38,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302875.jpg
Chamari Athapaththu,318853,Barbados Royals Women,2025,Women's Caribbean Premier League,28.035,0.467,7.615,0.212,20.42,0.851,43,36,8,19,1,31,9,2,4,12,24,2,18,3,3,1.194,21.5,60,0.083,0.222,0.028,0.75,0.528,0.29,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302875.jpg
Chamari Athapaththu,318853,Guyana Amazon Warriors Women,2022,Women's Caribbean Premier League,-1.769,-0.098,-1.769,-0.098,0,0,19,18,3,11,0,16,7,1,NA,NA,0,NA,NA,NA,NA,1.056,19,18,NA,0.167,0,NA,0.611,0.438,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320555.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302875.jpg
Chedean Nation,355355,Barbados Royals Women,2023,Women's Caribbean Premier League,-2.255,-0.251,-2.255,-0.251,0,0,12,9,1,2,0,8,8,1,NA,NA,0,NA,NA,NA,NA,1.333,12,9,NA,0.111,0,NA,0.222,1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306616.png
Chedean Nation,355355,Guyana Amazon Warriors Women,2022,Women's Caribbean Premier League,-7.21,-0.555,-7.21,-0.555,0,0,11,13,1,6,0,12,7,1,NA,NA,0,NA,NA,NA,NA,0.846,11,13,NA,0.077,0,NA,0.462,0.583,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306616.png
Chedean Nation,355355,Guyana Amazon Warriors Women,2025,Women's Caribbean Premier League,2.955,0.197,2.955,0.197,0,0,21,15,3,6,1,12,7,NA,NA,NA,0,NA,NA,NA,NA,1.4,NA,15,NA,0.2,0.067,NA,0.4,0.583,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306616.png
Chedean Nation,355355,Trinbago Knight Riders Women,2024,Women's Caribbean Premier League,-16.798,-0.442,-16.798,-0.442,0,0,28,38,3,19,0,35,16,4,NA,NA,0,NA,NA,NA,NA,0.737,7,38,NA,0.079,0,NA,0.5,0.457,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320596.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306616.png
Cherry-Ann Fraser,1214080,Barbados Royals Women,2024,Women's Caribbean Premier League,-6.14,-0.384,0,0,-6.14,-0.384,NA,0,NA,NA,NA,NA,NA,NA,0,21,16,2,3,7.875,Inf,NA,NA,16,0.125,NA,NA,0.188,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306618.png
Cherry-Ann Fraser,1214080,Guyana Amazon Warriors Women,2022,Women's Caribbean Premier League,-8.215,-0.316,-3.289,-3.289,-4.926,-0.197,0,1,0,1,0,1,0,1,1,33,25,4,9,7.92,33,0,0,26,0.16,0,0,0.36,1,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306618.png
Cherry-Ann Fraser,1214080,Guyana Amazon Warriors Women,2023,Women's Caribbean Premier League,-30.283,-1.165,0,0,-30.283,-1.165,NA,0,NA,NA,NA,NA,NA,NA,1,63,26,11,5,14.538,63,NA,NA,26,0.423,NA,NA,0.192,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306618.png
Cherry-Ann Fraser,1214080,Guyana Amazon Warriors Women,2025,Women's Caribbean Premier League,-32.229,-0.658,-3.334,-1.667,-28.894,-0.615,1,2,0,1,0,2,1,1,0,50,47,7,23,6.383,Inf,0.5,1,49,0.149,0,0,0.489,0.5,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321677.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306618.png
Chinelle Henry,474190,Barbados Royals Women,2022,Women's Caribbean Premier League,-23.745,-0.228,-28.225,-0.588,4.481,0.08,21,48,1,34,0,48,17,3,1,53,56,8,32,5.679,53,0.438,7,104,0.143,0.021,0,0.571,0.708,0.354,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306619.png
Chinelle Henry,474190,Barbados Royals Women,2023,Women's Caribbean Premier League,-12.12,-0.148,3.456,0.108,-15.577,-0.312,39,32,5,12,1,28,17,2,0,63,50,10,23,7.56,Inf,1.219,19.5,82,0.2,0.156,0.031,0.46,0.375,0.607,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306619.png
Chinelle Henry,474190,Barbados Royals Women,2024,Women's Caribbean Premier League,9.357,0.18,-3.217,-0.46,12.574,0.279,5,7,1,4,0,6,1,2,3,37,45,5,25,4.933,12.333,0.714,2.5,52,0.111,0.143,0,0.556,0.571,0.167,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306619.png
Chinelle Henry,474190,Barbados Royals Women,2025,Women's Caribbean Premier League,35.052,1.845,31.047,4.435,4.005,0.334,18,7,3,2,2,5,2,1,0,8,12,1,7,4,Inf,2.571,18,19,0.083,0.429,0.286,0.583,0.286,0.4,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321678.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306619.png
Chloe Tryon,453370,Barbados Royals Women,2022,Women's Caribbean Premier League,7.191,0.106,2.189,0.04,5.002,0.385,64,55,8,26,4,48,24,3,1,11,13,1,7,5.077,11,1.164,21.333,68,0.077,0.145,0.073,0.538,0.473,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307247.png
Chloe Tryon,453370,Guyana Amazon Warriors Women,2024,Women's Caribbean Premier League,37.939,0.336,-11.542,-0.55,49.481,0.538,15,21,0,7,0,22,15,3,8,66,92,6,51,4.304,8.25,0.714,5,113,0.065,0,0,0.554,0.333,0.682,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320638.png,https://www.espncricinfo.com/db/PICTURES/CMS/307200/307247.png
Courtney Webb,1123362,Barbados Royals Women,2025,Women's Caribbean Premier League,-7.636,-0.509,-7.636,-0.509,0,0,9,15,0,6,0,16,9,1,NA,NA,0,NA,NA,NA,NA,0.6,9,15,NA,0,0,NA,0.4,0.562,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/55/Women%27s_Caribbean_Premier_League_T20_logo.png,#252F60,#019DD5,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
