player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Joe Clarke,571911,Manchester Originals (Men),2021,The Hundred Men's Competition,12.267,0.161,12.267,0.161,0,0,117,76,18,28,5,61,35,6,NA,NA,0,NA,NA,NA,NA,1.539,19.5,76,NA,0.237,0.066,NA,0.368,0.574,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313647.1.jpg
Joe Clarke,571911,Welsh Fire (Men),2022,The Hundred Men's Competition,-44.813,-0.407,-44.813,-0.407,0,0,102,110,11,51,3,104,52,8,NA,NA,0,NA,NA,NA,NA,0.927,12.75,110,NA,0.1,0.027,NA,0.464,0.5,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313647.1.jpg
Joe Clarke,571911,Welsh Fire (Men),2023,The Hundred Men's Competition,13.343,0.102,13.343,0.102,0,0,183,131,24,44,7,112,73,6,NA,NA,0,NA,NA,NA,NA,1.397,30.5,131,NA,0.183,0.053,NA,0.336,0.652,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313647.1.jpg
Joe Clarke,571911,Welsh Fire (Men),2024,The Hundred Men's Competition,-7.603,-0.211,-7.603,-0.211,0,0,38,36,5,18,1,35,16,2,NA,NA,0,NA,NA,NA,NA,1.056,19,36,NA,0.139,0.028,NA,0.5,0.457,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324237.png,https://www.espncricinfo.com/db/PICTURES/CMS/313600/313647.1.jpg
Joe Cracknell,1107568,London Spirit (Men),2021,The Hundred Men's Competition,-1.593,-0.039,-1.593,-0.039,0,0,55,41,7,12,2,34,23,3,NA,NA,0,NA,NA,NA,NA,1.341,18.333,41,NA,0.171,0.049,NA,0.293,0.676,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Joe Denly,12454,London Spirit (Men),2021,The Hundred Men's Competition,-32.573,-0.412,-32.633,-0.48,0.059,0.005,66,68,6,25,2,64,38,5,0,12,11,2,7,1.091,Inf,0.971,13.2,79,0.182,0.088,0.029,0.636,0.368,0.594,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322906.png,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322906.png,https://www.espncricinfo.com/db/PICTURES/CMS/304300/304321.jpg
Joe Root,303669,Trent Rockets (Men),2021,The Hundred Men's Competition,11.957,0.307,-2.715,-2.715,14.672,0.386,0,1,0,1,0,1,0,1,1,40,38,4,12,1.053,40,0,0,39,0.105,0,0,0.316,1,0,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg
Joe Root,303669,Trent Rockets (Men),2022,The Hundred Men's Competition,1.535,0.059,1.535,0.059,0,0,34,26,2,1,1,24,24,NA,NA,NA,0,NA,NA,NA,NA,1.308,NA,26,NA,0.077,0.038,NA,0.038,1,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg
Joe Root,303669,Trent Rockets (Men),2023,The Hundred Men's Competition,16.913,0.133,24.367,0.268,-7.454,-0.207,142,91,21,28,4,76,49,5,2,56,36,7,5,1.556,28,1.56,28.4,127,0.194,0.231,0.044,0.139,0.308,0.645,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg
Joe Root,303669,Trent Rockets (Men),2024,The Hundred Men's Competition,12.646,0.452,8.079,0.449,4.567,0.457,33,18,4,5,3,15,11,1,1,11,10,1,3,1.1,11,1.833,33,28,0.1,0.222,0.167,0.3,0.278,0.733,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316639.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303966.jpg
