player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Matthew Cross,417268,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,5.022,0.628,5.022,0.628,0,0,15,8,2,3,2,6,3,0,0,0,0,0,0,NA,NA,1.875,Inf,8,NA,0.25,0.25,NA,0.375,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316680.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316680.png,https://www.espncricinfo.com/db/PICTURES/CMS/172800/172881.1.jpg
Mehran Khan,888565,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-4.414,-0.26,-0.319,-0.032,-4.096,-0.585,13,10,2,2,0,8,5,1,1,16,7,2,3,13.714,16,1.3,13,17,0.286,0.2,0,0.429,0.2,0.625,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321776.png,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321776.png,https://www.espncricinfo.com/db/PICTURES/CMS/235600/235697.1.jpg
Michael Jones,1093091,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,-1.766,-0.136,-1.766,-0.136,0,0,16,13,3,10,2,10,0,1,0,0,0,0,0,NA,NA,1.231,16,13,NA,0.231,0.154,NA,0.769,0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png,https://www.espncricinfo.com/db/PICTURES/CMS/322400/322444.png
Michael Leask,414966,Scotland,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,3.105,0.163,0,0,3.105,0.163,0,0,0,0,0,0,0,0,0,21,19,2,8,6.632,Inf,NA,NA,19,0.105,NA,NA,0.421,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316678.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316678.png,https://www.espncricinfo.com/db/PICTURES/CMS/172800/172875.1.jpg
Mohammad Amir,290948,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,12.867,0.536,0,0,12.867,0.536,0,0,0,0,0,0,0,0,2,23,24,3,15,5.75,11.5,NA,NA,24,0.125,NA,NA,0.625,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320457.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302820.jpg
Mohammad Rizwan,323389,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,-16.949,-0.385,-16.949,-0.385,0,0,31,44,2,23,1,42,21,1,0,0,0,0,0,NA,NA,0.705,31,44,NA,0.045,0.023,NA,0.523,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320458.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320458.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312178.jpg
Mohammed Siraj,940973,India,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,3.989,0.121,-4.295,-0.614,8.284,0.319,7,7,0,3,0,7,7,0,0,20,26,1,10,4.615,Inf,1,Inf,33,0.038,0,0,0.385,0.429,1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322600/322611.png,https://www.espncricinfo.com/db/PICTURES/CMS/322600/322611.png,https://www.espncricinfo.com/db/PICTURES/CMS/315600/315604.jpg
Naseem Khushi,1077310,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,3.168,0.352,3.168,0.352,0,0,10,9,1,5,1,8,4,1,0,0,0,0,0,NA,NA,1.111,10,9,NA,0.111,0.111,NA,0.556,0.5,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321778.png,https://www.espncricinfo.com/db/PICTURES/CMS/321700/321778.png,https://www.espncricinfo.com/db/PICTURES/CMS/286300/286346.1.jpg
Naseem Shah,1158088,Pakistan,2024,ICC Men's T20 World Cup,1415719,ICCMTWC_IND_PAK_2024-06-09,22.776,0.759,4.651,1.163,18.125,0.697,10,4,2,0,0,2,2,0,3,21,26,3,15,4.846,7,2.5,Inf,30,0.115,0.5,0,0.577,0,1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322223.png,https://www.espncricinfo.com/db/PICTURES/CMS/322200/322223.png,https://www.espncricinfo.com/db/PICTURES/CMS/302800/302821.jpg
Pratik Athavale,1402600,Oman,2024,ICC Men's T20 World Cup,1415720,ICCMTWC_OMA_SCOT_2024-06-09,15.659,0.391,15.659,0.391,0,0,54,40,7,14,2,34,22,1,0,0,0,0,0,NA,NA,1.35,54,40,NA,0.175,0.05,NA,0.35,0.647,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/8/89/2024_ICC_Men%27s_T20_World_Cup_logo.svg,NA,NA,NA
