player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,comp_colour_main,comp_colour_secondary,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Kofi James,914581,St Kitts and Nevis Patriots,2023,Caribbean Premier League,-3.252,-0.296,-0.676,-0.169,-2.576,-0.368,7,4,1,2,1,3,1,1,0,11,7,1,1,9.429,Inf,1.75,7,11,0.143,0.25,0.25,0.143,0.5,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Mayers,348056,Barbados Royals,2023,Caribbean Premier League,-101.201,-0.402,9.366,0.08,-110.567,-0.819,159,117,27,58,9,97,33,8,2,171,135,21,57,7.6,85.5,1.359,19.875,252,0.156,0.231,0.077,0.422,0.496,0.34,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322024.png,https://www.espncricinfo.com/db/PICTURES/CMS/322000/322024.png,https://www.espncricinfo.com/db/PICTURES/CMS/316000/316081.png
Laurie Evans,256956,Barbados Royals,2023,Caribbean Premier League,-6.348,-0.058,-6.348,-0.058,0,0,136,110,20,47,6,92,44,7,NA,NA,0,NA,NA,NA,NA,1.236,19.429,110,NA,0.182,0.055,NA,0.427,0.478,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/325900/325914.png,https://www.espncricinfo.com/db/PICTURES/CMS/325900/325914.png,https://www.espncricinfo.com/db/PICTURES/CMS/157100/157173.1.jpg
Leonardo Julien,1161486,St Lucia Kings,2023,Caribbean Premier League,-5.538,-0.554,-5.538,-0.554,0,0,7,10,1,6,0,10,3,1,NA,NA,0,NA,NA,NA,NA,0.7,7,10,NA,0.1,0,NA,0.6,0.3,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326144.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326144.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326144.3.png
Lorcan Tucker,928057,Trinbago Knight Riders,2023,Caribbean Premier League,-0.761,-0.006,-0.761,-0.006,0,0,150,121,17,35,3,109,76,4,NA,NA,0,NA,NA,NA,NA,1.24,37.5,121,NA,0.14,0.025,NA,0.289,0.697,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339164.png,https://www.espncricinfo.com/db/PICTURES/CMS/339100/339164.png,https://www.espncricinfo.com/db/PICTURES/CMS/332200/332222.2.jpg
Mark Deyal,848623,Trinbago Knight Riders,2023,Caribbean Premier League,95.354,0.539,98.368,0.643,-3.014,-0.126,222,153,36,56,11,125,56,9,1,33,24,4,8,8.25,33,1.451,24.667,177,0.167,0.235,0.072,0.333,0.366,0.448,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326145.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326145.png,https://www.espncricinfo.com/db/PICTURES/CMS/326100/326145.3.png
Martin Guptill,226492,Trinbago Knight Riders,2023,Caribbean Premier League,19.674,0.093,19.674,0.093,0,0,251,211,28,80,11,198,117,7,NA,NA,0,NA,NA,NA,NA,1.19,35.857,211,NA,0.133,0.052,NA,0.379,0.591,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316591.png,https://www.espncricinfo.com/db/PICTURES/CMS/316500/316591.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303656.png
Matthew Forde,1209190,St Lucia Kings,2023,Caribbean Premier League,6.792,0.036,-11.781,-0.421,18.573,0.115,29,28,3,11,0,27,17,3,15,170,161,19,75,6.335,11.333,1.036,9.667,189,0.118,0.107,0,0.466,0.393,0.63,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Matthew Nandu,1195686,Guyana Amazon Warriors,2023,Caribbean Premier League,-19.757,-0.43,-19.757,-0.43,0,0,40,46,4,20,0,47,24,2,NA,NA,0,NA,NA,NA,NA,0.87,20,46,NA,0.087,0,NA,0.435,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKenny Clarke,1275937,St Lucia Kings,2023,Caribbean Premier League,-40.387,-1.092,-4.714,-2.357,-35.674,-1.019,0,2,0,2,0,2,0,1,0,70,35,12,10,12,Inf,0,0,37,0.343,0,0,0.286,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
