player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Bayley Wiggins,1173272,Central Hinds,2022,Super Smash,14.827,0.463,14.827,0.463,0,0,48,32,7,11,2,30,16,4,NA,NA,0,NA,NA,NA,NA,1.5,12,32,NA,0.219,0.062,NA,0.344,0.533,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bayley Wiggins,1173272,Central Hinds,2023,Super Smash,-60.212,-3.169,-60.212,-3.169,0,0,7,19,1,15,0,20,3,4,NA,NA,0,NA,NA,NA,NA,0.368,1.75,19,NA,0.053,0,NA,0.789,0.15,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Beckham Wheeler-Greenall,1212065,Otago Sparks,2021,Super Smash,-8.189,-0.178,-7.926,-0.495,-0.262,-0.009,12,16,1,6,0,15,8,NA,2,41,30,5,10,8.2,20.5,0.75,NA,46,0.167,0.062,0,0.333,0.375,0.533,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben Cox,417514,Otago Sparks,2018,Super Smash,-14.69,-0.115,-14.69,-0.115,0,0,151,128,14,36,4,117,87,5,NA,NA,0,NA,NA,NA,NA,1.18,30.2,128,NA,0.109,0.031,NA,0.281,0.744,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324370.png,https://www.espncricinfo.com/db/PICTURES/CMS/324300/324370.png,https://www.espncricinfo.com/db/PICTURES/CMS/131200/131260.1.jpg
Ben Horne,559061,Auckland Hearts,2017,Super Smash,-10.53,-0.102,-4.351,-0.056,-6.179,-0.247,87,78,12,28,0,69,39,7,2,46,25,7,5,11.04,23,1.115,12.429,103,0.28,0.154,0,0.2,0.359,0.565,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg
Ben Horne,559061,Auckland Hearts,2019,Super Smash,-1.911,-0.212,-1.911,-0.212,0,0,18,9,3,4,1,7,4,3,NA,NA,0,NA,NA,NA,NA,2,6,9,NA,0.333,0.111,NA,0.444,0.571,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg
Ben Horne,559061,Auckland Hearts,2020,Super Smash,16.434,0.147,16.434,0.147,0,0,163,112,17,30,9,97,77,7,NA,NA,0,NA,NA,NA,NA,1.455,23.286,112,NA,0.152,0.08,NA,0.268,0.794,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg
Ben Horne,559061,Auckland Hearts,2021,Super Smash,-30.932,-0.364,-30.932,-0.364,0,0,97,85,11,36,6,81,41,8,NA,NA,0,NA,NA,NA,NA,1.141,12.125,85,NA,0.129,0.071,NA,0.424,0.506,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg
Ben Horne,559061,Auckland Hearts,2022,Super Smash,5.558,0.057,5.558,0.057,0,0,143,98,20,37,8,83,47,7,NA,NA,0,NA,NA,NA,NA,1.459,20.429,98,NA,0.204,0.082,NA,0.378,0.566,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/148100/148183.jpg
Ben Laughlin,315623,Northern Brave,2017,Super Smash,-8.196,-0.167,0,0,-8.196,-0.167,NA,0,NA,NA,NA,NA,NA,NA,5,74,49,10,16,9.061,14.8,NA,NA,49,0.204,NA,NA,0.327,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/102200/102203.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/102200/102203.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/102200/102203.1.jpg
Ben Lister,1125536,Auckland Hearts,2017,Super Smash,-22.906,-0.101,-0.074,-0.011,-22.833,-0.104,8,7,0,1,0,7,8,NA,15,285,220,32,74,7.773,19,1.143,NA,227,0.145,0,0,0.336,0.143,1.143,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben Lister,1125536,Auckland Hearts,2018,Super Smash,-17.607,-0.489,-4.006,-4.006,-13.601,-0.389,0,1,0,1,0,1,0,1,2,36,35,4,16,6.171,18,0,0,36,0.114,0,0,0.457,1,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben Lister,1125536,Auckland Hearts,2019,Super Smash,2.597,0.025,-0.361,-0.361,2.958,0.028,1,1,0,0,0,2,1,NA,6,146,104,18,31,8.423,24.333,1,NA,105,0.173,0,0,0.298,0,0.5,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben Lister,1125536,Auckland Hearts,2020,Super Smash,-50.08,-0.311,-8.2,-1.025,-41.88,-0.274,6,8,1,5,0,7,2,2,3,235,153,29,47,9.216,78.333,0.75,3,161,0.19,0.125,0,0.307,0.625,0.286,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ben Lister,1125536,Auckland Hearts,2021,Super Smash,103.622,0.411,0.028,0.001,103.594,0.448,28,21,4,9,2,18,8,1,11,252,231,26,88,6.545,22.909,1.333,28,252,0.113,0.19,0.095,0.381,0.429,0.444,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
