player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Niroshan Dickwella,429754,Dubai Capitals,2022,International League T20,7.414,0.337,7.414,0.337,0,0,37,22,6,9,2,16,9,1,NA,NA,0,NA,NA,NA,NA,1.682,37,22,NA,0.273,0.091,NA,0.409,0.562,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/263600/263673.1.png
Niroshan Dickwella,429754,Sharjah Warriors,2023,International League T20,-11.647,-0.1,-11.647,-0.1,0,0,146,116,21,53,4,95,54,10,NA,NA,0,NA,NA,NA,NA,1.259,14.6,116,NA,0.181,0.034,NA,0.457,0.568,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319881.png,https://www.espncricinfo.com/db/PICTURES/CMS/263600/263673.1.png
Noor Ahmad,1182529,Sharjah Warriors,2022,International League T20,16.076,0.09,-4.766,-0.099,20.842,0.16,49,48,4,17,1,44,31,2,5,148,130,13,44,6.831,29.6,1.021,24.5,178,0.1,0.083,0.021,0.338,0.354,0.705,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png,https://www.espncricinfo.com/db/PICTURES/CMS/372500/372590.1.png
Odean Smith,820691,MI Emirates,2023,International League T20,-12.187,-0.214,-9.121,-0.507,-3.065,-0.079,13,18,0,5,0,18,13,1,2,52,39,6,10,8,26,0.722,13,57,0.154,0,0,0.256,0.278,0.722,MIE,https://www.espncricinfo.com/db/PICTURES/CMS/344000/344077.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/351800/351853.png,https://www.espncricinfo.com/db/PICTURES/CMS/348100/348147.4.jpg
Ollie Pope,887207,Gulf Giants,2022,International League T20,-10.016,-0.435,-10.016,-0.435,0,0,18,23,2,9,0,21,10,2,NA,NA,0,NA,NA,NA,NA,0.783,9,23,NA,0.087,0,NA,0.391,0.476,GG,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349621.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322914.png,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322914.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303990.jpg
Olly Stone,457279,Dubai Capitals,2023,International League T20,11.566,0.077,-10.155,-1.128,21.721,0.153,6,9,0,4,0,9,6,2,10,174,142,24,60,7.352,17.4,0.667,3,151,0.169,0,0,0.423,0.444,0.667,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/349500/349594.4.jpg
Paul Stirling,303427,Abu Dhabi Knight Riders,2022,International League T20,-52.052,-0.323,-43.364,-0.28,-8.688,-1.448,168,155,20,59,5,135,78,6,0,17,6,3,1,17,Inf,1.084,28,161,0.5,0.129,0.032,0.167,0.381,0.578,ADKR,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349617.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316638.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316638.png,https://www.espncricinfo.com/db/PICTURES/CMS/305200/305247.jpg
Paul Walter,909225,Sharjah Warriors,2022,International League T20,-3.695,-0.035,-1.086,-0.022,-2.61,-0.046,59,50,8,18,0,42,27,2,2,79,57,9,17,8.316,39.5,1.18,29.5,107,0.158,0.16,0,0.298,0.36,0.643,SW,https://www.espncricinfo.com/db/PICTURES/CMS/374200/374264.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Paul van Meekeren,348109,Dubai Capitals,2023,International League T20,-14.465,-1.033,0,0,-14.465,-1.033,NA,0,NA,NA,NA,NA,NA,NA,0,26,14,4,4,11.143,Inf,NA,NA,14,0.286,NA,NA,0.286,NA,NA,DC,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349619.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/322600/322644.png,https://www.espncricinfo.com/db/PICTURES/CMS/322600/322644.png,https://www.espncricinfo.com/db/PICTURES/CMS/171300/171339.1.jpg
Phil Salt,669365,Desert Vipers,2023,International League T20,42.579,1.851,42.579,1.851,0,0,56,23,11,7,3,12,6,2,NA,NA,0,NA,NA,NA,NA,2.435,28,23,NA,0.478,0.13,NA,0.304,0.5,DV,https://www.espncricinfo.com/db/PICTURES/CMS/349600/349618.jpg,#0b0c59,https://upload.wikimedia.org/wikipedia/en/d/dc/ILT20_logo.jpeg,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324245.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324245.png,https://www.espncricinfo.com/db/PICTURES/CMS/312100/312181.png
