player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Charlie Wakim,627623,Brisbane Heat,2023,Big Bash League,-0.755,-0.126,-0.755,-0.126,0,0,7,6,1,3,0,5,3,1,NA,NA,0,NA,NA,NA,NA,1.167,7,6,NA,0.167,0,NA,0.5,0.6,BH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313466.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346964.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346964.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/346900/346964.4.jpg
Chris Green,787073,Sydney Thunder,2023,Big Bash League,12.716,0.051,15.292,0.225,-2.575,-0.014,98,68,11,17,2,57,50,4,4,224,182,22,63,7.385,56,1.441,24.5,250,0.121,0.162,0.029,0.346,0.25,0.877,ST,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313472.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309059.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309059.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309059.png
Chris Jordan,288992,Hobart Hurricanes,2023,Big Bash League,5.852,0.019,28.659,0.333,-22.806,-0.105,133,86,19,28,10,67,37,6,10,307,217,35,63,8.488,30.7,1.547,22.167,303,0.161,0.221,0.116,0.29,0.326,0.552,HH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316623.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316623.png,https://www.espncricinfo.com/db/PICTURES/CMS/303900/303926.jpg
Chris Lynn,326637,Adelaide Strikers,2023,Big Bash League,82.515,0.432,82.515,0.432,0,0,304,191,45,50,14,146,96,5,NA,NA,0,NA,NA,NA,NA,1.592,60.8,191,NA,0.236,0.073,NA,0.262,0.658,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321566.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321566.png,https://www.espncricinfo.com/db/PICTURES/CMS/309000/309060.png
Colin Munro,232359,Brisbane Heat,2023,Big Bash League,27.333,0.163,27.333,0.163,0,0,224,168,25,42,11,143,102,6,NA,NA,0,NA,NA,NA,NA,1.333,37.333,168,NA,0.149,0.065,NA,0.25,0.713,BH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313466.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319772.png,https://www.espncricinfo.com/db/PICTURES/CMS/319700/319772.png,https://www.espncricinfo.com/db/PICTURES/CMS/303700/303792.png
Cooper Connolly,1210488,Perth Scorchers,2023,Big Bash League,28.842,0.148,4.16,0.032,24.682,0.368,175,128,18,35,7,110,89,7,7,77,67,7,26,6.896,11,1.367,25,195,0.104,0.141,0.055,0.388,0.273,0.809,PS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/347800/347820.png,https://www.espncricinfo.com/db/PICTURES/CMS/347800/347820.png,https://www.espncricinfo.com/db/PICTURES/CMS/341100/341145.4.jpg
Corey Anderson,277662,Hobart Hurricanes,2023,Big Bash League,-40.514,-0.229,-48.819,-0.394,8.305,0.157,110,124,12,52,4,112,54,5,2,54,53,6,23,6.113,27,0.887,22,177,0.113,0.097,0.032,0.434,0.419,0.482,HH,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/316600/316617.png,https://www.espncricinfo.com/db/PICTURES/CMS/303600/303609.jpg
Corey Rocchiccioli,1205981,Melbourne Stars,2023,Big Bash League,-6.947,-0.386,0,0,-6.947,-0.386,NA,0,NA,NA,NA,NA,NA,NA,1,30,18,4,4,10,30,NA,NA,18,0.222,NA,NA,0.222,NA,NA,MS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313470.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/350300/350326.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/350300/350326.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/350300/350326.4.jpg
D'Arcy Short,308798,Adelaide Strikers,2023,Big Bash League,-26.05,-0.116,-17.461,-0.082,-8.588,-0.716,244,212,33,90,7,179,98,11,0,24,12,3,2,12,Inf,1.151,22.182,224,0.25,0.156,0.033,0.167,0.425,0.547,AS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321571.png,https://www.espncricinfo.com/db/PICTURES/CMS/321500/321571.png,https://www.espncricinfo.com/db/PICTURES/CMS/272100/272147.1.jpg
Dan Lawrence,641423,Melbourne Stars,2023,Big Bash League,11.819,0.092,-5.216,-0.062,17.036,0.387,116,84,16,32,4,68,44,5,6,53,44,4,11,7.227,8.833,1.381,23.2,128,0.091,0.19,0.048,0.25,0.381,0.647,MS,https://www.espncricinfo.com/db/PICTURES/CMS/313400/313470.logo.png,#0b0c59,https://upload.wikimedia.org/wikipedia/en/c/c0/Big_Bash_League_%28logo%29.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324233.png,https://www.espncricinfo.com/db/PICTURES/CMS/324200/324233.png,https://www.espncricinfo.com/db/PICTURES/CMS/313700/313798.1.jpg
