player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Lydia Greenway,53709,England Women,2015,Women's World T20,-8.157,-0.816,-8.157,-0.816,0,0,5,10,0,4,0,10,5,2,NA,NA,0,NA,NA,NA,NA,0.5,2.5,10,NA,0,0,NA,0.4,0.5,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320408.png,https://www.espncricinfo.com/db/PICTURES/CMS/320400/320408.png,https://www.espncricinfo.com/db/PICTURES/CMS/305000/305054.png
Marcia Letsoalo,276682,South Africa Women,2015,Women's World T20,-3.309,-0.174,0,0,-3.309,-0.174,NA,0,NA,NA,NA,NA,NA,NA,1,26,19,3,5,8.211,26,NA,NA,19,0.158,NA,NA,0.263,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320643.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320643.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307318.png
Marizanne Kapp,351836,South Africa Women,2015,Women's World T20,20.469,0.136,-16.798,-0.317,37.267,0.384,44,53,4,21,0,49,28,4,6,72,97,8,52,4.454,12,0.83,11,150,0.082,0.075,0,0.536,0.396,0.571,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320644.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320644.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307319.png
Mary Waldron,463208,Ireland Women,2015,Women's World T20,-6.289,-0.898,-6.289,-0.898,0,0,5,7,0,2,0,7,5,3,NA,NA,0,NA,NA,NA,NA,0.714,1.667,7,NA,0,0,NA,0.286,0.714,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321618.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321618.png,https://www.espncricinfo.com/db/PICTURES/CMS/182000/182017.jpg
Masabata Klaas,364368,South Africa Women,2015,Women's World T20,-3.441,-0.287,-2.302,-0.46,-1.139,-0.163,4,5,0,1,0,5,4,1,1,11,7,2,3,9.429,11,0.8,4,12,0.286,0,0,0.429,0.2,0.8,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320645.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320645.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307320.png
Meg Lanning,329336,Australia Women,2015,Women's World T20,15.105,0.08,15.105,0.08,0,0,201,188,28,75,0,160,89,4,NA,NA,0,NA,NA,NA,NA,1.069,50.25,188,NA,0.149,0,NA,0.399,0.556,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320138.png,https://www.espncricinfo.com/db/PICTURES/CMS/320100/320138.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282468.1.jpg
Megan Schutt,420314,Australia Women,2015,Women's World T20,1.735,0.016,-3.38,-1.127,5.115,0.049,1,3,0,1,0,3,1,1,10,123,105,14,40,7.029,12.3,0.333,1,108,0.133,0,0,0.381,0.333,0.333,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321667.png,https://www.espncricinfo.com/db/PICTURES/CMS/321600/321667.png,https://www.espncricinfo.com/db/PICTURES/CMS/282400/282464.1.jpg
Merissa Aguilleira,355348,West Indies Women,2015,Women's World T20,-4.525,-0.133,-4.525,-0.133,0,0,35,34,2,11,0,32,27,1,NA,NA,0,NA,NA,NA,NA,1.029,35,34,NA,0.059,0,NA,0.324,0.844,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320601.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320601.png,https://www.espncricinfo.com/db/PICTURES/CMS/306600/306648.png
Mignon du Preez,54646,South Africa Women,2015,Women's World T20,-25.667,-0.458,-25.667,-0.458,0,0,35,56,2,27,0,54,27,3,NA,NA,0,NA,NA,NA,NA,0.625,11.667,56,NA,0.036,0,NA,0.482,0.5,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320646.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320646.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307321.png
Mithali Raj,54273,India Women,2015,Women's World T20,-37.188,-0.348,-37.188,-0.348,0,0,79,107,8,56,0,99,47,4,NA,NA,0,NA,NA,NA,NA,0.738,19.75,107,NA,0.075,0,NA,0.523,0.475,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320625.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320625.png,https://www.espncricinfo.com/db/PICTURES/CMS/304500/304545.png
Morna Nielsen,324246,New Zealand Women,2015,Women's World T20,66.338,0.548,0,0,66.338,0.548,NA,0,NA,NA,NA,NA,NA,NA,4,65,121,4,72,3.223,16.25,NA,NA,121,0.033,NA,NA,0.595,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320546.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320546.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305791.png
Moseline Daniels,478278,South Africa Women,2015,Women's World T20,11.03,0.172,-0.045,-0.045,11.076,0.176,1,1,0,0,0,1,1,NA,1,49,63,5,32,4.667,49,1,NA,64,0.079,0,0,0.508,0,1,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320647.png,https://www.espncricinfo.com/db/PICTURES/CMS/320600/320647.png,https://www.espncricinfo.com/db/PICTURES/CMS/307300/307322.png
