player,cricinfo_id,team,season,competition,match_id,custom_match_id,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,1341226,NA,2.497,0.089,-6.899,-3.449,9.396,0.361,0,2,0,2,0,2,0,1,1,19,26,1,13,4.385,19,0,0,28,0.038,0,0,0.5,1,0,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,1341230,NA,-6.53,-0.163,-1.822,-0.121,-4.708,-0.188,14,15,1,6,0,14,10,1,0,30,25,2,7,7.2,Inf,0.933,14,40,0.08,0.067,0,0.28,0.4,0.714,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,1341233,NA,9.173,0.173,6.003,0.214,3.169,0.127,34,28,5,11,0,23,14,1,3,29,25,3,8,6.96,9.667,1.214,34,53,0.12,0.179,0,0.32,0.393,0.609,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,1341246,NA,-4.989,-0.102,-3.831,-0.167,-1.157,-0.045,14,23,1,10,0,22,10,1,1,28,26,2,11,6.462,28,0.609,14,49,0.077,0.043,0,0.423,0.435,0.455,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amanda-Jade Wellington,381305,Northern Districts Women,2022,Women's Super Smash,1341252,NA,-0.997,-0.499,-0.997,-0.499,0,0,3,2,0,1,0,2,3,1,0,0,0,0,0,NA,NA,1.5,3,2,NA,0,0,NA,0.5,1.5,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/326400/326476.png,https://www.espncricinfo.com/db/PICTURES/CMS/324900/324996.4.jpg
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290630,WSS_2021_2021-11-26_WEL-W_CAN-W,29.455,0.368,12.745,0.228,16.71,0.696,71,56,8,18,0,48,39,1,4,16,24,1,15,4,4,1.268,71,80,0.042,0.143,0,0.625,0.321,0.812,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290635,NA,23.573,0.319,12.888,0.258,10.686,0.445,62,50,7,13,0,43,34,1,1,13,24,0,13,3.25,13,1.24,62,74,0,0.14,0,0.542,0.26,0.791,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290637,NA,16.054,0.669,0,0,16.054,0.669,0,0,0,0,0,0,0,0,2,13,24,1,14,3.25,6.5,NA,NA,24,0.042,NA,NA,0.583,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290641,NA,8.056,0.134,6.501,0.155,1.555,0.086,50,42,4,9,0,38,34,1,0,15,18,2,10,5,Inf,1.19,50,60,0.111,0.095,0,0.556,0.214,0.895,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290643,NA,-2.971,-0.042,-4.027,-0.094,1.056,0.039,42,43,5,18,0,38,22,1,0,24,27,0,9,5.333,Inf,0.977,42,70,0,0.116,0,0.333,0.419,0.579,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290646,NA,14.395,0.182,4.571,0.086,9.823,0.378,56,53,6,18,0,47,32,1,2,19,26,0,11,4.385,9.5,1.057,56,79,0,0.113,0,0.423,0.34,0.681,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290650,NA,8.383,0.335,2.327,0.388,6.056,0.319,10,6,1,1,0,5,6,1,3,20,19,2,5,6.316,6.667,1.667,10,25,0.105,0.167,0,0.263,0.167,1.2,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290652,NA,-9.171,-0.15,-2.125,-0.059,-7.046,-0.282,26,36,2,14,0,34,18,1,0,32,25,3,11,7.68,Inf,0.722,26,61,0.12,0.056,0,0.44,0.389,0.529,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290655,NA,24.879,1.037,0,0,24.879,1.037,0,0,0,0,0,0,0,0,4,9,24,1,18,2.25,2.25,NA,NA,24,0.042,NA,NA,0.75,NA,NA,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290659,NA,4.395,0.122,-3.788,-0.316,8.183,0.341,9,12,1,7,0,11,5,1,2,20,24,2,12,5,10,0.75,9,36,0.083,0.083,0,0.5,0.583,0.455,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2021,Women's Super Smash,1290661,NA,5.107,0.122,0.614,0.034,4.493,0.187,20,18,3,7,0,15,8,1,1,21,24,1,7,5.25,21,1.111,20,42,0.042,0.167,0,0.292,0.389,0.533,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2022,Women's Super Smash,1341227,NA,1.401,0.021,2.688,0.063,-1.287,-0.051,46,43,5,14,0,38,26,1,1,28,25,3,7,6.72,28,1.07,46,68,0.12,0.116,0,0.28,0.326,0.684,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
Amelia Kerr,803971,Wellington Women,2022,Women's Super Smash,1341229,NA,5.833,0.124,0.254,0.011,5.578,0.232,27,23,3,7,0,20,15,1,1,19,24,1,9,4.75,19,1.174,27,47,0.042,0.13,0,0.375,0.304,0.75,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/320500/320534.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305720.png
