player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Arlene Kelly,592593,Auckland Women,2021,Women's Super Smash,52.936,0.152,-7.024,-0.068,59.96,0.244,101,103,7,33,0,96,73,6,10,209,246,22,124,5.098,20.9,0.981,16.833,349,0.089,0.068,0,0.504,0.32,0.76,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg
Arlene Kelly,592593,Auckland Women,2022,Women's Super Smash,8.967,0.041,-10.801,-0.372,19.767,0.105,25,29,2,8,0,27,17,4,10,191,189,19,78,6.063,19.1,0.862,6.25,218,0.101,0.069,0,0.413,0.276,0.63,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/353800/353893.4.jpg
Ashtuti Kumar,1211364,Central Districts Women,2021,Women's Super Smash,-15.467,-0.533,-3.228,-0.646,-12.24,-0.51,4,5,0,2,0,5,4,2,0,36,24,4,5,9,Inf,0.8,2,29,0.167,0,0,0.208,0.4,0.8,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ashtuti Kumar,1211364,Central Districts Women,2022,Women's Super Smash,1.179,0.196,0,0,1.179,0.196,NA,0,NA,NA,NA,NA,NA,NA,1,7,6,1,2,7,7,NA,NA,6,0.167,NA,NA,0.333,NA,NA,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Ashtuti Kumar,1211364,Central Districts Women,2023,Women's Super Smash,15.645,0.079,-1.481,-0.37,17.126,0.088,0,4,0,3,0,4,0,NA,9,192,194,16,71,5.938,21.333,0,NA,198,0.082,0,0,0.366,0.75,0,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bella Armstrong,966965,Auckland Women,2021,Women's Super Smash,-89.924,-0.321,-71.008,-0.374,-18.916,-0.21,120,190,10,103,0,180,80,9,3,114,90,15,29,7.6,38,0.632,13.333,280,0.167,0.053,0,0.322,0.542,0.444,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bella Armstrong,966965,Auckland Women,2022,Women's Super Smash,-8.241,-0.034,28.863,0.202,-37.104,-0.367,177,143,21,45,1,122,91,7,1,142,101,12,21,8.436,142,1.238,25.286,244,0.119,0.147,0.007,0.208,0.315,0.746,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bella Armstrong,966965,Auckland Women,2023,Women's Super Smash,-18.637,-0.847,-18.637,-0.847,0,0,16,22,0,8,0,22,16,4,NA,NA,0,NA,NA,NA,NA,0.727,4,22,NA,0,0,NA,0.364,0.727,NA,NA,NA,NA,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Bella James,805059,Otago Women,2021,Women's Super Smash,-16.642,-0.427,-16.642,-0.427,0,0,33,39,2,19,0,37,25,4,NA,NA,0,NA,NA,NA,NA,0.846,8.25,39,NA,0.051,0,NA,0.487,0.676,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg
Bella James,805059,Otago Women,2022,Women's Super Smash,17.749,0.204,17.749,0.204,0,0,117,87,22,36,2,65,25,8,NA,NA,0,NA,NA,NA,NA,1.345,14.625,87,NA,0.253,0.023,NA,0.414,0.385,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg
Bella James,805059,Otago Women,2023,Women's Super Smash,-9.3,-0.06,-9.3,-0.06,0,0,161,155,22,71,1,133,71,10,NA,NA,0,NA,NA,NA,NA,1.039,16.1,155,NA,0.142,0.006,NA,0.458,0.534,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg,https://www.espncricinfo.com/db/PICTURES/CMS/228200/228219.1.jpg
Bernadine Bezuidenhout,499247,Northern Districts Women,2022,Women's Super Smash,1.137,0.011,1.137,0.011,0,0,108,105,13,42,0,92,56,6,NA,NA,0,NA,NA,NA,NA,1.029,18,105,NA,0.124,0,NA,0.4,0.609,NA,NA,NA,NA,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png,https://www.espncricinfo.com/db/PICTURES/CMS/305700/305723.png
Bree Illing,1251598,Auckland Women,2023,Women's Super Smash,1.265,0.006,0.222,0.055,1.043,0.005,4,4,0,0,0,4,4,NA,6,201,192,22,84,6.281,33.5,1,NA,196,0.115,0,0,0.438,0,1,NA,NA,NA,NA,NA,NA,NA
